period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
2,62,12,From Corner,Barcelona,Gerard Piqué Bernabéu,1.0,Head,Open Play,Saved,Normal,,,,,,,115.4,45.9,118.0,42.1,1.9,2.0
2,62,14,From Corner,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Goal,Volley,True,,,,,,116.8,40.4,119.9,42.7,1.3,2.0
2,64,40,Regular Play,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,,,,98.7,28.8,116.9,39.9,1.7000000000000002,2.0
2,65,9,From Corner,Barcelona,Ousmane Dembélé,,Left Foot,Open Play,Goal,Normal,True,,,,,True,104.9,39.7,120.0,40.4,1.4,3.0
2,70,19,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Left Foot,Open Play,Off T,Overhead Kick,True,,,,,,113.0,49.0,120.0,33.3,0.5,1.0
2,78,38,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Off T,Normal,,,,,,,97.4,48.1,120.0,37.8,4.2,1.0
2,85,43,Regular Play,Real Sociedad,Juan Miguel Jiménez López,,Head,Open Play,Off T,Normal,,,,True,,,109.9,41.0,120.0,45.2,1.0,1.0
2,91,45,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Blocked,Normal,,,,,,,107.1,41.1,111.3,40.3,,1.0
2,92,25,From Throw In,Real Sociedad,Mikel Merino Zazón,,Left Foot,Open Play,Blocked,Normal,,,,,,,87.1,45.5,94.8,45.1,,2.0
1,4,45,From Corner,Girona,Bernardo José Espinosa Zúñiga,,Head,Open Play,Saved,Diving Header,,,,,,,109.9,35.2,119.2,38.8,0.7000000000000001,3.0
1,11,15,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Normal,,,,,,,105.6,32.0,118.0,41.0,0.2,1.0
1,18,21,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Goal,Normal,True,,,,,,105.5,41.2,120.0,37.3,0.2,1.0
1,20,42,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Saved,Normal,,,,,,,106.2,25.0,118.0,36.2,0.9,1.0
1,26,3,From Throw In,Girona,Marc Muniesa Martínez,,Left Foot,Open Play,Off T,Half Volley,,,,,,,100.9,22.1,120.0,40.5,7.3,2.0
1,27,52,Regular Play,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Saved,Normal,,,,,,,97.5,28.4,116.8,38.7,0.2,1.0
1,28,13,Regular Play,Girona,Cristian Portugués Manzanera,,Right Foot,Open Play,Blocked,Normal,,,,,,,113.5,53.1,119.4,44.3,,0.0
1,36,19,From Free Kick,Girona,Francesc Aday Benítez Caraballo,,Right Foot,Free Kick,Saved,Normal,,,,,,,87.3,45.9,118.5,41.6,1.6,3.0
1,39,35,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Saved,Normal,,,,,,,92.5,26.1,119.1,36.7,1.6,4.0
1,41,23,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Blocked,Normal,,,,,,,100.1,30.5,101.3,31.1,,2.0
1,44,29,Regular Play,Girona,Cristhian Ricardo Stuani Curbelo,,Right Foot,Open Play,Goal,Normal,,,,True,,,113.8,47.0,120.0,40.7,0.2,1.0
2,47,8,Regular Play,Barcelona,Arthur Henrique Ramos de Oliveira Melo,,Head,Open Play,Saved,Normal,,,,,,,107.4,38.1,119.4,41.9,2.0,1.0
2,48,45,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Left Foot,Open Play,Blocked,Normal,,,,,,,105.4,36.8,107.5,37.0,,1.0
2,50,16,Regular Play,Girona,Cristian Portugués Manzanera,,Right Foot,Open Play,Saved,Normal,,,,True,,,111.5,30.1,114.7,33.3,0.6000000000000001,1.0
2,50,18,Regular Play,Girona,Cristhian Ricardo Stuani Curbelo,,Right Foot,Open Play,Goal,Normal,True,,,,,,103.1,31.1,120.0,42.4,2.3,2.0
2,57,23,From Throw In,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Blocked,Normal,,,,,,,93.0,32.2,98.9,34.5,,2.0
2,59,35,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Post,Normal,,,,,,,92.0,40.0,120.0,36.1,3.0,3.0
2,61,42,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Saved,Normal,,,,,,,98.1,57.3,119.3,44.0,1.7000000000000002,4.0
2,62,9,From Corner,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Saved,Normal,True,,,,,,117.7,47.5,118.1,46.5,0.2,1.0
2,62,11,From Corner,Barcelona,Gerard Piqué Bernabéu,1.0,Head,Open Play,Goal,Normal,,,,,,,113.0,41.7,120.0,38.3,1.7000000000000002,1.0
2,66,7,From Free Kick,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,,,,,,,100.2,27.4,102.8,29.4,,2.0
2,68,55,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Saved,Normal,,,,,,,92.5,39.0,119.3,40.0,2.0,4.0
2,72,57,From Free Kick,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,,,,,,,103.3,24.1,105.5,26.6,,2.0
2,79,11,From Throw In,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Blocked,Normal,,,,,,,97.9,27.9,105.8,33.9,,1.0
2,79,45,From Corner,Barcelona,Samuel Yves Umtiti,,Left Foot,Open Play,Blocked,Volley,,,,,,,110.5,37.4,111.5,37.5,,2.0
2,82,51,From Free Kick,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,,,,95.6,26.4,118.6,40.8,0.2,2.0
2,87,27,Regular Play,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Off T,Normal,,,,,,,96.2,30.5,120.0,44.9,1.3,1.0
1,6,1,Regular Play,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Off T,Normal,,,,,,,100.0,19.0,120.0,35.1,0.1,1.0
1,7,0,From Throw In,Leganés,Youssef En-Nesyri,,Head,Open Play,Wayward,Normal,,,,,,,107.1,38.1,119.7,28.4,,1.0
1,11,8,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Goal,Half Volley,,,,,,,98.1,38.5,120.0,42.8,0.7000000000000001,2.0
1,16,10,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Post,Normal,,,,,,,95.8,42.0,120.0,35.9,3.0,1.0
1,17,34,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Normal,True,,,,,,100.4,41.6,118.1,39.1,0.2,2.0
1,22,36,Regular Play,Barcelona,Sergio Busquets i Burgos,1.0,Right Foot,Open Play,Off T,Normal,,,,,,,89.6,29.2,120.0,47.3,3.7,1.0
1,24,41,From Free Kick,Leganés,Juan Francisco Moreno Fuertes,1.0,Left Foot,Open Play,Saved,Normal,,,,,,True,97.0,59.1,116.7,39.5,0.8,2.0
1,32,10,Regular Play,Leganés,Juan Francisco Moreno Fuertes,,Right Foot,Open Play,Blocked,Half Volley,,,,,,,101.1,58.1,103.1,56.1,,2.0
1,37,46,From Goal Kick,Leganés,Youssef En-Nesyri,,Head,Open Play,Saved,Normal,,,,,,,108.0,32.9,118.7,38.4,1.3,1.0
1,44,20,Regular Play,Leganés,Óscar Rodríguez Arnaiz,,Right Foot,Open Play,Saved,Normal,,,,,,,100.8,20.8,117.0,39.8,1.7000000000000002,1.0
2,51,45,From Throw In,Leganés,Nabil El Zhar,,Head,Open Play,Goal,Normal,,,,,,,113.7,45.2,120.0,39.8,1.4,1.0
2,52,54,Regular Play,Leganés,Óscar Rodríguez Arnaiz,,Right Foot,Open Play,Goal,Normal,True,,,,,,104.6,37.0,120.0,38.4,2.0,0.0
2,62,44,From Corner,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Saved,Normal,,,,,,,91.8,26.1,118.3,38.9,1.2,2.0
2,65,28,Regular Play,Leganés,Youssef En-Nesyri,,Right Foot,Open Play,Blocked,Normal,True,,,,,,105.5,39.9,110.0,39.9,,2.0
2,79,26,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,,,,104.9,32.0,118.4,41.6,1.3,3.0
2,79,28,From Throw In,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Saved,Half Volley,True,,,,,,112.1,48.1,117.8,43.1,2.0,1.0
2,85,56,From Goal Kick,Barcelona,Sergi Roberto Carnicer,,Right Foot,Open Play,Off T,Normal,True,,,,,,106.1,54.1,120.0,42.5,3.9,2.0
2,91,13,From Throw In,Leganés,Youssef En-Nesyri,1.0,Left Foot,Open Play,Saved,Normal,,,,True,,,102.1,27.1,113.9,35.6,0.2,1.0
